feature,family,n,auc_raw,auc_symmetric,mutual_info,cohen_d,abs_cohen_d,auc_O013257,auc_O013490,auc_O012791,rank_score
ndai_x_sd,engineered_scalar,207681,0.9440131959487147,0.9440131959487147,0.4275164613557747,1.1344946405475338,1.1344946405475338,0.952826071949815,0.9585810885672611,0.8899878494191925,1.5
local_SD_mean3,patch_local,207681,0.9361669466334882,0.9361669466334882,0.44965493365114817,1.2889139125009506,1.2889139125009506,0.9586837304893056,0.9417237836512822,0.8851254114682362,1.5
SD,expert,207681,0.9351218356815959,0.9351218356815959,0.42750125361909785,1.1695345044652885,1.1695345044652885,0.9570836092840457,0.9436815571303074,0.8817923967505572,3.0
local_NDAI_std3,patch_local,207681,0.9274607017442211,0.9274607017442211,0.35981991174111116,1.1093455657333056,1.1093455657333056,0.9415836295920312,0.9218458821931749,0.9134647155247136,4.5
local_SD_std3,patch_local,207681,0.9155756647808362,0.9155756647808362,0.38632684526361283,0.8481584220195074,0.8481584220195074,0.9522337330688427,0.916908480084585,0.8665535009680164,5.0
local_rad_std_std3,patch_local,207681,0.916033547728018,0.916033547728018,0.32285477452082323,1.208412968062603,1.208412968062603,0.9130043370607742,0.9133764471062823,0.9160058417381373,5.5
local_rad_mean_std3,patch_local,207681,0.8885701264717083,0.8885701264717083,0.2891067897398374,0.8204676430884195,0.8204676430884195,0.9448648691588667,0.8620855633520554,0.8727277891053361,7.5
cov_df_bf,angle_pair,207681,0.14629222612717382,0.8537077738728261,0.29635041522494454,-1.331394265733005,1.331394265733005,0.8125984309583949,0.9674738596428627,0.6849892359181596,7.5
ndai_angular_range,angle_pair,207681,0.836624570505256,0.836624570505256,0.2817874007384813,1.5262254889230242,1.5262254889230242,0.6078276908839452,0.9850809197985313,0.8121728398189969,9.5
ndai_df_af,angle_pair,207681,0.8331449863681983,0.8331449863681983,0.2844181070009335,1.4926001554628823,1.4926001554628823,0.6040143024449922,0.9836628764331253,0.8025353101509852,10.0
ndai_angular_std,angle_pair,207681,0.8353730680213689,0.8353730680213689,0.2788729616764538,1.5090181748586693,1.5090181748586693,0.6103498996045069,0.9849095731570645,0.8127056723436692,10.5
local_NDAI_mean3,patch_local,207681,0.8299772132841389,0.8299772132841389,0.26712644361499205,1.4629250250254868,1.4629250250254868,0.55137168431001,0.9841774228391847,0.838641613480007,12.5
rad_cv,engineered_scalar,207681,0.825051098726648,0.825051098726648,0.25957292419402744,1.3893984441072906,1.3893984441072906,0.5622441666310996,0.9820583615693635,0.8292417307402271,14.0
sd_proxy_df,angle_pair,207681,0.807752646138091,0.807752646138091,0.26764355480752844,1.5728793752576469,1.5728793752576469,0.5050924606900774,0.986084013417059,0.8099560609441352,14.5
sd_proxy_bf,angle_pair,207681,0.827372269499868,0.827372269499868,0.2507749921341913,1.4643729249136468,1.4643729249136468,0.5844350682259443,0.9656643011960718,0.7786111262832851,15.5
df_an_ratio,engineered_scalar,207681,0.8233824267824857,0.8233824267824857,0.2591467414303006,1.1528482659942079,1.1528482659942079,0.5470581923247799,0.9793782735689635,0.8271255550320079,15.5
NDAI,expert,207681,0.8233824261001953,0.8233824261001953,0.2591501727092791,1.4147300860693959,1.4147300860693959,0.5470581860185546,0.9793782735689633,0.8271255522240794,15.5
af_df_gap,engineered_scalar,207681,0.20623075781447622,0.7937692421855238,0.25770717200963666,-1.4997903158905133,1.4997903158905133,0.5085853774370466,0.9865849963453913,0.7915772467775202,19.0
front_back_ratio,engineered_scalar,207681,0.8013443875016351,0.8013443875016351,0.23834865464394728,1.1254485382495565,1.1254485382495565,0.5350801865250241,0.9733682598882484,0.8015656551991313,20.0
local_rad_std_mean3,patch_local,207681,0.7745228563357995,0.7745228563357995,0.23796413926411475,1.3867151141960559,1.3867151141960559,0.5745159663648224,0.9895690872478988,0.8198228867608235,23.5
rad_range,engineered_scalar,207681,0.7749250936755974,0.7749250936755974,0.23236922837188656,1.3663938360454693,1.3663938360454693,0.5828509740494525,0.9852983595424853,0.8167250114911669,24.5
an_df_gap,engineered_scalar,207681,0.22785394464453562,0.7721460553554644,0.23351582989844566,-1.3377102432118086,1.3377102432118086,0.5859183869835539,0.9833592396372559,0.8078274868273332,25.0
AF,radiance,207681,0.2008439994704101,0.7991560005295899,0.2007383443461217,-1.1556564689016735,1.1556564689016735,0.8430177441731391,0.8911564391345048,0.6099772775119829,25.5
sd_proxy_af,angle_pair,207681,0.7642867244375469,0.7642867244375469,0.23941994879989315,1.3429821606245518,1.3429821606245518,0.5208668649879409,0.981111514776366,0.7511774528974475,25.5
sd_angular_range,angle_pair,207681,0.7730274475079048,0.7730274475079048,0.2309907052826341,1.3337742260635348,1.3337742260635348,0.5829675397711114,0.981923097359414,0.8163389416708325,26.0
bf_cf_gap,engineered_scalar,207681,0.25746608991826897,0.742533910081731,0.24328362281699523,-1.1733324455461835,1.1733324455461835,0.5140004321064306,0.9521857479225374,0.6865211420622712,26.0
aft_mean,engineered_scalar,207681,0.20211360082822416,0.7978863991717758,0.19996823774520278,-1.1581335031083568,1.1581335031083568,0.8246798593363291,0.8828980296459686,0.6429934035075116,26.5
cov_df_an,angle_pair,207681,0.23237752872102924,0.7676224712789708,0.23278255911598333,-1.3430282190526617,1.3430282190526617,0.5939818316332875,0.982067402103415,0.8019333962657516,27.0
AN,radiance,207681,0.20645561046786864,0.7935443895321314,0.1962606621451346,-1.1517665549961296,1.1517665549961296,0.7978087670081707,0.8719078234428608,0.6736340015787747,28.0
rad_std,engineered_scalar,207681,0.7703035821141094,0.7703035821141094,0.23062695010103473,1.3500727918118922,1.3500727918118922,0.5744930873798401,0.985229052152021,0.8103027622020109,28.0
corr_x_sd,engineered_scalar,207681,0.7168645853377036,0.7168645853377036,0.22040631322951332,0.49681851585291015,0.49681851585291015,0.9228448570498277,0.604511862939532,0.736459227798978,31.5
forward_backward_gap,engineered_scalar,207681,0.7362636359076006,0.7362636359076006,0.21187277114115655,1.1191207818786355,1.1191207818786355,0.6285946633245303,0.9750285231258307,0.7795078010657639,32.0
BF,radiance,207681,0.22965461902115275,0.7703453809788472,0.16928961766577877,-0.9785549799058407,0.9785549799058407,0.8613458073067659,0.8537642481276193,0.5028510843220498,32.5
local_SD_centered3,patch_local,207681,0.4667564198414908,0.5332435801585091,0.2485043343851625,-0.011640365742719061,0.011640365742719061,0.5396506474847829,0.5341273778116863,0.5244740233137142,33.0
ndai_cf_an,angle_pair,207681,0.7614368679309195,0.7614368679309195,0.18634844240195503,1.0895912557589853,1.0895912557589853,0.5191815796667989,0.9414566611197953,0.7783714225473789,33.5
cov_cf_af,angle_pair,207681,0.2963325281442307,0.7036674718557693,0.1935982075070175,-1.0473606814004055,1.0473606814004055,0.6112330529705918,0.936975353032141,0.700549484383447,36.5
sd_proxy_an,angle_pair,207681,0.705873061172148,0.705873061172148,0.16073716043170472,0.8939011366162221,0.8939011366162221,0.6985028950579786,0.9550509402479586,0.7906376464890716,37.5
local_rad_mean_mean3,patch_local,207681,0.29368353252356627,0.7063164674764337,0.11031046735468863,-0.7679754610079886,0.7679754610079886,0.8607297817588933,0.7140308059454392,0.5571335760765115,39.0
rad_mean,engineered_scalar,207681,0.2955863752586668,0.7044136247413332,0.1121436365509334,-0.7579724830029188,0.7579724830029188,0.8537680181563092,0.7139865757913461,0.5513893615100653,39.5
local_NDAI_centered3,patch_local,207681,0.5048848553357294,0.5048848553357294,0.21799869699281604,0.0037012401062100474,0.0037012401062100474,0.5064427787329995,0.5069579891277927,0.5111065143448534,41.5
ndai_bf_an,angle_pair,207681,0.6664187866308439,0.6664187866308439,0.09992918238999038,0.7158575305979213,0.7158575305979213,0.6051113406551207,0.8071081259947213,0.7739146053213796,42.0
sd_proxy_cf,angle_pair,207681,0.6400827786788311,0.6400827786788311,0.1094228782542721,0.6037946370577761,0.6037946370577761,0.6704505870855043,0.8358669930149369,0.6685549389587778,42.5
DF,radiance,207681,0.5543936445003464,0.5543936445003464,0.12299016159571319,0.12730060057997244,0.12730060057997244,0.8287983710853467,0.7663745630599378,0.6927711193180498,43.5
CF,radiance,207681,0.3572162676290902,0.6427837323709098,0.08685390341562749,-0.5393468232275934,0.5393468232275934,0.8536499835692758,0.6266359204442282,0.597209802520181,44.0
local_rad_std_centered3,patch_local,207681,0.507544096813952,0.507544096813952,0.18472748554113338,0.008280972796826946,0.008280972796826946,0.5012504206446238,0.5127614243154106,0.5055117812595793,44.5
an_af_gap,engineered_scalar,207681,0.6369578844277521,0.6369578844277521,0.08629629896761748,0.43538210181753184,0.43538210181753184,0.8402274068849371,0.7066241680473669,0.7151783106522343,45.5
front_mean,engineered_scalar,207681,0.3805686930789847,0.6194313069210153,0.0933932877886019,-0.46543796723196046,0.46543796723196046,0.8554287184160085,0.5735622334417212,0.6229128877564025,45.5
sd_angular_cv,angle_pair,207681,0.44521323394956125,0.5547867660504388,0.0981917160038186,0.024598496834501687,0.024598496834501687,0.502141255478082,0.607011378183348,0.5630061487795102,45.5
local_rad_mean_centered3,patch_local,207681,0.5026876937679168,0.5026876937679168,0.12775632826117422,0.005393575696344804,0.005393575696344804,0.5000651884199574,0.5092731084666192,0.5072285459768651,47.0
corr_x_ndai,engineered_scalar,207681,0.6203175862221644,0.6203175862221644,0.044285668127836075,0.43020180084103554,0.43020180084103554,0.76148891098228,0.5268040788981485,0.6667290490116519,47.5
local_CORR_mean3,patch_local,207681,0.5278215294172228,0.5278215294172228,0.02447239219428421,0.13076785984066663,0.13076785984066663,0.7644953102174983,0.5861723782580622,0.538326920642233,50.5
CORR,expert,207681,0.5236562504886295,0.5236562504886295,0.009811117660730284,0.11469461961199104,0.11469461961199104,0.7383973504253224,0.5798504917294519,0.5335162966951219,51.5
local_CORR_std3,patch_local,207681,0.5141331644548914,0.5141331644548914,0.0057600682874607845,0.0574191831439823,0.0574191831439823,0.6632323885971558,0.5029887051496884,0.7017616446819338,52.5
ndai_af_an,angle_pair,207681,0.4998227979724832,0.5001772020275168,0.08143398396955326,0.16728207099997877,0.16728207099997877,0.7030585528817497,0.5170915989301228,0.7570496626756791,52.75
af_an_ratio,engineered_scalar,207681,0.4998227979724832,0.5001772020275168,0.08143047202765286,0.19742621739011285,0.19742621739011285,0.7030585528817497,0.5170915989301228,0.7570496626756791,53.25
local_CORR_centered3,patch_local,207681,0.5088356724551996,0.5088356724551996,0.001690354389657367,-0.0010958189140881922,0.0010958189140881922,0.5081983105517941,0.5008892583710102,0.5270722501584907,53.5
