family,family_label,block_name,mean_test_roc_auc,mean_test_pr_auc,mean_test_balanced_accuracy,mean_test_f1,mean_test_brier,mean_threshold,n_splits
hist_gradient_boosting,HistGradientBoosting,B3_context_ae,0.9542561749180702,0.9051723394570388,0.9003448215717725,0.8726391846207046,0.08549744831847995,0.32219380098913364,3
hist_gradient_boosting,HistGradientBoosting,B2_context,0.9400912467458733,0.8716578126926694,0.8834694227873597,0.8545888133462286,0.09586116676911649,0.457642584952308,3
random_forest,Random Forest,B3_context_ae,0.9272964904743454,0.8896548398921297,0.8464848109329434,0.8206525511276959,0.10976928367818507,0.4826059026733987,3
hist_gradient_boosting,HistGradientBoosting,B1_engineered,0.925851360496473,0.8503326875348535,0.8610075593082333,0.8283691695203895,0.10369582710522625,0.5180517300269808,3
hist_gradient_boosting,HistGradientBoosting,B0_base,0.9216511160754584,0.8344215449702066,0.8686780465352734,0.8363058479593856,0.1046088446180357,0.479114104438215,3
random_forest,Random Forest,B2_context,0.9210123496532772,0.8599896115834401,0.8380419091669311,0.8130581101891532,0.10958715338614373,0.5470327845944932,3
random_forest,Random Forest,B0_base,0.8826606619895431,0.8163677107957104,0.7828475622963317,0.7728062885825516,0.15393743547875052,0.5072238058271668,3
logistic_regression,Logistic Regression,B2_context,0.8550975733176233,0.790501875260337,0.7222190075920217,0.6770181789602293,0.1343796109003073,0.34125961395757815,3
random_forest,Random Forest,B1_engineered,0.8399073817004826,0.7917521501963171,0.7742874855989795,0.7643269759184744,0.17924314942881972,0.47097175855488355,3
logistic_regression,Logistic Regression,B1_engineered,0.8303704247106864,0.7631791857907647,0.7192407282037093,0.6852281708224511,0.13531984135091504,0.33207046707775345,3
logistic_regression,Logistic Regression,B0_base,0.8264413192008435,0.7581352006346239,0.795516428830899,0.7407898400833784,0.14059786891881987,0.30943554217320984,3
logistic_regression,Logistic Regression,B3_context_ae,0.8121933358249677,0.7508800207779522,0.6919537909902144,0.647218857595854,0.15251819999071145,0.3981499811784391,3
